service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
35_3_1,0,0,0,0,0,0,0,20220206,20220312
113_4_1,0,0,0,0,0,0,0,20220206,20220312
64_1_1,0,0,0,0,0,0,0,20220206,20220312
109_1_1,0,0,0,0,0,0,0,20220206,20220312
521_1,0,0,0,0,0,0,0,20220206,20220312
501_1_1,0,0,0,0,0,0,0,20220206,20220312
436_1,0,0,0,0,0,0,0,20220206,20220312
120_1_1,0,0,0,0,0,0,0,20220206,20220312
41_1,0,0,0,0,0,0,0,20220206,20220312
3052_1,0,0,0,0,0,0,0,20220206,20220312
702_1_1,0,0,0,0,0,0,0,20220206,20220312
206_5_1,0,0,0,0,0,0,0,20220206,20220312
158_1,0,0,0,0,0,0,0,20220206,20220312
5_1_1,0,0,0,0,0,0,0,20220206,20220312
209_3_1,0,0,0,0,0,0,0,20220206,20220312
103_1_1,0,0,0,0,0,0,0,20220206,20220312
24_1,0,0,0,0,0,0,0,20220206,20220312
1001_1_1,0,0,0,0,0,0,0,20220206,20220312
41_3_1,0,0,0,0,0,0,0,20220206,20220312
8_1_1,0,0,0,0,0,0,0,20220206,20220312
3152_1,0,0,0,0,0,0,0,20220206,20220312
3381_1,0,0,0,0,0,0,0,20220206,20220312
216_1,0,0,0,0,0,0,0,20220206,20220312
30_3_1,0,0,0,0,0,0,0,20220206,20220312
62_1,0,0,0,0,0,0,0,20220206,20220312
507_1,0,0,0,0,0,0,0,20220206,20220312
49_1_1,0,0,0,0,0,0,0,20220206,20220312
7_1_1,0,0,0,0,0,0,0,20220206,20220312
48_1,0,0,0,0,0,0,0,20220206,20220312
707_1,0,0,0,0,0,0,0,20220206,20220312
526_1,0,0,0,0,0,0,0,20220206,20220312
23_1_1,0,0,0,0,0,0,0,20220206,20220312
4_2_1,0,0,0,0,0,0,0,20220206,20220312
16_1,0,0,0,0,0,0,0,20220206,20220312
801_1,0,0,0,0,0,0,0,20220206,20220312
37_2_1,0,0,0,0,0,0,0,20220206,20220312
3_1_1,0,0,0,0,0,0,0,20220206,20220312
114_3_1,0,0,0,0,0,0,0,20220206,20220312
39_2_1,0,0,0,0,0,0,0,20220206,20220312
19_3_1,0,0,0,0,0,0,0,20220206,20220312
4_1,0,0,0,0,0,0,0,20220206,20220312
407_1_1,0,0,0,0,0,0,0,20220206,20220312
