service_id,date,exception_type
42_1,20220417,1
42_1,20220418,1
42_1,20220424,1
42_1,20220425,1
218_1_1,20220423,1
218_1_1,20220430,1
36_2_1,20220419,1
36_2_1,20220420,1
36_2_1,20220421,1
36_2_1,20220422,1
36_2_1,20220426,1
36_2_1,20220427,1
36_2_1,20220428,1
36_2_1,20220429,1
34_1_1,20220419,1
34_1_1,20220420,1
34_1_1,20220421,1
34_1_1,20220422,1
34_1_1,20220426,1
34_1_1,20220427,1
34_1_1,20220428,1
34_1_1,20220429,1
114_1_1,20220417,1
114_1_1,20220418,1
114_1_1,20220424,1
114_1_1,20220425,1
110_2_1,20220419,1
110_2_1,20220420,1
110_2_1,20220421,1
110_2_1,20220422,1
110_2_1,20220426,1
110_2_1,20220427,1
110_2_1,20220428,1
110_2_1,20220429,1
423_1,20220419,1
423_1,20220420,1
423_1,20220421,1
423_1,20220422,1
423_1,20220426,1
423_1,20220427,1
423_1,20220428,1
423_1,20220429,1
310_1_1,20220423,1
310_1_1,20220430,1
113_1,20220417,1
113_1,20220418,1
113_1,20220424,1
113_1,20220425,1
416_1_1,20220419,1
416_1_1,20220420,1
416_1_1,20220421,1
416_1_1,20220422,1
416_1_1,20220426,1
416_1_1,20220427,1
416_1_1,20220428,1
416_1_1,20220429,1
713_1,20220423,1
713_1,20220430,1
154_1,20220419,1
154_1,20220420,1
154_1,20220421,1
154_1,20220422,1
154_1,20220426,1
154_1,20220427,1
154_1,20220428,1
154_1,20220429,1
9_1,20220417,1
9_1,20220418,1
9_1,20220424,1
9_1,20220425,1
115_2_1,20220419,1
115_2_1,20220420,1
115_2_1,20220421,1
115_2_1,20220422,1
115_2_1,20220426,1
115_2_1,20220427,1
115_2_1,20220428,1
115_2_1,20220429,1
209_3_1,20220419,1
209_3_1,20220420,1
209_3_1,20220421,1
209_3_1,20220422,1
209_3_1,20220426,1
209_3_1,20220427,1
209_3_1,20220428,1
209_3_1,20220429,1
1001_2_1,20220419,1
1001_2_1,20220420,1
1001_2_1,20220421,1
1001_2_1,20220422,1
1001_2_1,20220426,1
1001_2_1,20220427,1
1001_2_1,20220428,1
1001_2_1,20220429,1
3111_1,20220419,1
3111_1,20220420,1
3111_1,20220421,1
3111_1,20220422,1
3111_1,20220426,1
3111_1,20220427,1
3111_1,20220428,1
3111_1,20220429,1
414_1,20220423,1
414_1,20220430,1
27_2_1,20220419,1
27_2_1,20220420,1
27_2_1,20220421,1
27_2_1,20220422,1
27_2_1,20220426,1
27_2_1,20220427,1
27_2_1,20220428,1
27_2_1,20220429,1
708_1,20220423,1
708_1,20220430,1
33_2_1,20220419,1
33_2_1,20220420,1
33_2_1,20220421,1
33_2_1,20220422,1
33_2_1,20220426,1
33_2_1,20220427,1
33_2_1,20220428,1
33_2_1,20220429,1
3211_1,20220419,1
3211_1,20220420,1
3211_1,20220421,1
3211_1,20220422,1
3211_1,20220426,1
3211_1,20220427,1
3211_1,20220428,1
3211_1,20220429,1
601_1,20220417,1
601_1,20220418,1
601_1,20220424,1
601_1,20220425,1
12_3_1,20220419,1
12_3_1,20220420,1
12_3_1,20220421,1
12_3_1,20220422,1
12_3_1,20220426,1
12_3_1,20220427,1
12_3_1,20220428,1
12_3_1,20220429,1
303_2_1,20220419,1
303_2_1,20220420,1
303_2_1,20220421,1
303_2_1,20220422,1
303_2_1,20220426,1
303_2_1,20220427,1
303_2_1,20220428,1
303_2_1,20220429,1
208_1_1,20220417,1
208_1_1,20220424,1
201_1_1,20220417,1
201_1_1,20220418,1
201_1_1,20220424,1
201_1_1,20220425,1
208_1,20220419,1
208_1,20220420,1
208_1,20220421,1
208_1,20220422,1
208_1,20220426,1
208_1,20220427,1
208_1,20220428,1
208_1,20220429,1
612_1,20220419,1
612_1,20220420,1
612_1,20220421,1
612_1,20220422,1
612_1,20220426,1
612_1,20220427,1
612_1,20220428,1
612_1,20220429,1
30_1_1,20220423,1
30_1_1,20220430,1
304_1_1,20220423,1
304_1_1,20220430,1
111_3_1,20220419,1
111_3_1,20220420,1
111_3_1,20220421,1
111_3_1,20220422,1
111_3_1,20220426,1
111_3_1,20220427,1
111_3_1,20220428,1
111_3_1,20220429,1
3142_1,20220419,1
3142_1,20220420,1
3142_1,20220421,1
3142_1,20220422,1
3142_1,20220426,1
3142_1,20220427,1
3142_1,20220428,1
3142_1,20220429,1
3132_1,20220419,1
3132_1,20220420,1
3132_1,20220421,1
3132_1,20220422,1
3132_1,20220426,1
3132_1,20220427,1
3132_1,20220428,1
3132_1,20220429,1
23_3_1,20220419,1
23_3_1,20220420,1
23_3_1,20220421,1
23_3_1,20220422,1
23_3_1,20220426,1
23_3_1,20220427,1
23_3_1,20220428,1
23_3_1,20220429,1
2112_1,20220423,1
2112_1,20220430,1
308_1,20220417,1
308_1,20220418,1
308_1,20220424,1
308_1,20220425,1
127_1,20220419,1
127_1,20220420,1
127_1,20220421,1
127_1,20220422,1
127_1,20220426,1
127_1,20220427,1
127_1,20220428,1
127_1,20220429,1
207_3_1,20220419,1
207_3_1,20220420,1
207_3_1,20220421,1
207_3_1,20220422,1
207_3_1,20220426,1
207_3_1,20220427,1
207_3_1,20220428,1
207_3_1,20220429,1
201_3_1,20220419,1
201_3_1,20220420,1
201_3_1,20220421,1
201_3_1,20220422,1
201_3_1,20220426,1
201_3_1,20220427,1
201_3_1,20220428,1
201_3_1,20220429,1
611_1,20220419,1
611_1,20220420,1
611_1,20220421,1
611_1,20220422,1
611_1,20220426,1
611_1,20220427,1
611_1,20220428,1
611_1,20220429,1
720_1,20220423,1
720_1,20220430,1
6_3_1,20220419,1
6_3_1,20220420,1
6_3_1,20220421,1
6_3_1,20220422,1
6_3_1,20220426,1
6_3_1,20220427,1
6_3_1,20220428,1
6_3_1,20220429,1
508_1,20220423,1
508_1,20220430,1
209_1,20220419,1
