from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
6055,6017,2,240,1__1__510__TZM__1__4__1__4,23__0__455__TZM__114__1__114__1
PORI2,2003,2,0,KPL__0__6352__RAIL__Rail_MTuWThF-XHol,220__1__196__TZM__325__325
7083,7083,2,120,18__1__472__NBM__41__41,2__0__475__NBM__5__1__5__1
PORI2,2003,2,0,KPL__0__6436__RAIL__Rail_SaSu+Hol,220__1__716__TZM__302__302
6055,6017,2,240,1__1__202__TZM__203__3__203__3,23__0__145__TZM__106__1__106__1
PARA2,1001,2,240,KPL__0__6456__RAIL__Rail_SaSu+Hol,262__0__723__UZM__4101__4101
MELL,9150,2,240,MEL__0__5618__RAIL__Rail_MTuWThF-XHol,145__0__105__TZM__406__2__406__2
MELL,9150,2,240,MEL__0__5618__RAIL__Rail_MTuWThF-XHol,145__0__105__TZM__406__3__406__3
7720,7700,2,60,29__1__404__TZM__103__1__103__1,7__1__412__TZM__204__3__204__3
7720,7700,2,60,29__1__404__TZM__103__1__103__1,7__1__412__TZM__204__7__204__7
UPPE,8579,2,240,HVL__0__3854__RAIL__Rail_SaSu+Hol,110__0__735__TZM__501__501
UPPE,8579,2,240,HVL__0__3854__RAIL__Rail_SaSu+Hol,110__0__735__TZM__501__4__501__4
3000,3000,2,300,1__0__107__TZM__114__2__114__2,60__0__105__MNM__3301__3301
3000,3000,2,300,1__0__107__TZM__114__2__114__2,60__0__105__MNM__3301__1__3301__1
3000,3000,2,300,1__0__107__TZM__114__4__114__4,60__0__105__MNM__3301__3301
UPPE,8579,2,240,HVL__0__3664__RAIL__Rail_MTuWThF-XHol,110__0__101__TZM__515__515
2002,PORI2,2,0,60__0__421__MNM__2031__2031,KPL__0__6438__RAIL__Rail_SaSu+Hol
PORI2,2003,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,226__0__143__TZM__315__315
PORI2,2003,2,0,KPL__0__6334__RAIL__Rail_MTuWThF-XHol,226__0__143__TZM__315__1__315__1
5915,5915,2,0,21__0__217__NBM__43__43,22__0__219__NBM__81__81
5915,5915,2,0,21__0__217__NBM__43copy__43copy,22__0__219__NBM__81copy__81copy
7017,7017,2,120,23__1__708__TZM__114__114,1__0__727__TZM__108__108
8165,WATE1,2,0,130__1__712__TZM__406__406,HVL__1__3825__RAIL__Rail_SaSu+Hol
2003,PORI1,2,0,220__1__106__TZM__307__1__307__1,KPL__1__7209__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__109__TZM__303__3__303__3,KPL__1__7209__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__109__TZM__303__4__303__4,KPL__1__7209__RAIL__Rail_MTuWThF-XHol
2001,PORI1,2,0,220__0__109__TZM__303__7__303__7,KPL__1__7209__RAIL__Rail_MTuWThF-XHol
6081,6081,2,120,2__1__536__NBM__7__7,18__0__729__NBM__10__10
1001,PARA1,2,0,261__1__102__UZM__1033__1033,KPL__1__6211__RAIL__Rail_MTuWThF-XHol
PORI2,2001,2,0,KPL__0__6228__RAIL__Rail_MTuWThF-XHol,220__0__123__TZM__314__314
PORI2,2001,2,0,KPL__0__6228__RAIL__Rail_MTuWThF-XHol,220__0__123__TZM__314__1__314__1
WATE2,9140,2,0,HVL__0__3822__RAIL__Rail_SaSu+Hol,170__0__705__TZM__602__602
2002,PORI2,2,0,60__0__405__MNM__2101__2101,KPL__0__6422__RAIL__Rail_SaSu+Hol
7017,7017,2,120,23__1__112__TZM__111__3__111__3,1__0__137__TZM__1__5__1__5
7017,7017,2,120,23__1__430__TZM__105__1__105__1,1__0__461__TZM__111__2__111__2
6720,7720,2,120,7__0__487__TZM__204__3__204__3,29__0__447__TZM__102__1__102__1
6720,7720,2,120,7__0__487__TZM__204__7__204__7,29__0__447__TZM__102__1__102__1
8580,UPPE,2,240,112__1__408__TZM__508__508,HVL__1__3831__RAIL__Rail_SaSu+Hol
PETO2,9001,2,0,HVL__0__4624__RAIL__Rail_MTuWThF-XHol,150__0__147__TZM__403__3__403__3
PETO2,9001,2,0,MEL__0__5640__RAIL__Rail_MTuWThF-XHol,150__0__147__TZM__403__3__403__3
3000,3000,2,300,1__0__257__TZM__234__234,60__0__159__MNM__3042__3042
1001,PARA1,2,0,261__1__120__UZM__1312__1312,KPL__1__6301__RAIL__Rail_MTuWThF-XHol
WAIK,1501,2,240,KPL__0__6344__RAIL__Rail_MTuWThF-XHol,280__0__155__UZM__1108__1108
WAIK,1501,2,240,KPL__0__6344__RAIL__Rail_MTuWThF-XHol,280__0__155__UZM__1108copy__1108copy
7017,7017,2,120,23__1__442__TZM__105__1__105__1,1__0__485__TZM__112__1__112__1
6733,6730,2,120,7__0__725__TZM__106__106,23__0__723__TZM__107__107
PORI2,2001,2,0,KPL__0__6224__RAIL__Rail_MTuWThF-XHol,210__0__109__TZM__321__321
