route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
9,CCL MTuWThF-XHol,CCL__0__10309__WCCL__CCL_MTuWThF-XHol,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10309
7,7082,AX__1__698__MNM__7082__7082,,1,,[@366.0.7673003@]2,,2,698
70,220_4,7__0__489__TZM__220__4__220__4,,0,,[@364.0.17528115@]2,,2,489
240,217_2,24__1__418__TZM__217__2__217__2,,1,,[@364.0.17528180@]1,,2,418
7,6061,AX__0__127__MNM__6061__6061,,0,,[@366.0.7673003@]1,,2,127
10,106_4,1__1__488__TZM__106__4__106__4,,1,,[@364.0.17528045@]5,,2,488
580,3272,58__0__109__MNM__3272__3272,,0,,[@360.0.6959415@]58:775#23916#23949,,2,109
290,203_11,29__0__405__TZM__203__11__203__11,,0,,[@364.0.17529751@]2,,2,405
70,108_4,7__1__478__TZM__108__4__108__4,,1,,[@364.0.17528115@]1,,2,478
830,205_1,83__0__437__NBM__205__1__205__1,,0,,[@364.0.23226528@]83:382#12651#12715,,2,437
9916,312_4,N6__0__105__TZM__312__4__312__4,P=Operates on request from Porirua Station,0,,[@6.0.22570698@]N6:11#426#498,,2,105
5,Rail MTuWThF-XHol,HVL__1__3613__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2,3613
9,CCL Su+Hol-Xmas,CCL__0__10348__WCCL__CCL_Su+Hol-Xmas,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10348
5,Rail MTuWThF-XHol,HVL__0__3642__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608367@]HVL:796#24254#24262,,2,3642
2360,302_6,236__1__400__TZM__302__6__302__6,,1,,[@356.0.45924880@]236:664#21302#21336,,2,400
170,208_4,17__0__713__TZM__208__4__208__4,,0,,[@364.0.17529728@]2,,2,713
20,244,2__0__437__NBM__244__244,,0,,[@364.0.23226994@]1,,2,437
250,213_6,25__1__405__TZM__213__6__213__6,,1,,[@6.0.22281071@]2,,2,405
1540,602_8,154__0__117__TZM__602__8__602__8,,0,,[@360.0.75331279@]1,,2,117
6,Rail XmasWeek 5-6Jan,JVL__0__9342__RAIL__Rail_XmasWeek_5-6Jan,,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9342
5,Rail SaSu+Hol,HVL__1__3837__RAIL__Rail_SaSu+Hol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2,3837
7,6101,AX__1__192__MNM__6101__6101,,1,,[@366.0.7673003@]2,,2,192
1100,503_3,110__1__714__TZM__503__3__503__3,,1,,[@356.0.42935074@]81537888,,2,714
70,109_6,7__1__470__TZM__109__6__109__6,,1,,[@364.0.17528115@]1,,2,470
1100,503_3,110__1__704__TZM__503__3__503__3,,1,,[@356.0.42935074@]81537888,,2,704
20,4_1,2__1__424__NBM__4__1__4__1,,1,,[@364.0.23226994@]10,,2,424
1300,602_8,130__0__123__TZM__602__8__602__8,,0,,[@364.0.17527495@]3,,2,123
6,Rail XmasWeek 5-6Jan,JVL__1__9381__RAIL__Rail_XmasWeek_5-6Jan,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9381
2,Rail SaSu+Hol,KPL__0__6442__RAIL__Rail_SaSu+Hol,,0,,[@6.0.20608271@]KPL:815#24440#24452,,2,6442
70,220_4,7__0__485__TZM__220__4__220__4,,0,,[@364.0.17528115@]2,,2,485
1150,509_3,115__0__121__TZM__509__3__509__3,,0,,[@364.0.36724745@]115:457#14567#14629,,2,121
9,CCL MTuWThF-XHol,CCL__1__10491__WCCL__CCL_MTuWThF-XHol,,1,,[@6.0.98043685@]CCL:857#24726#24728,,2,10491
1700,610_1,170__0__133__TZM__610__1__610__1,,0,,[@356.0.42935339@]170:564#18381#18436,,2,133
5,Rail MTuWThF-XHol,HVL__0__3616__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608367@]HVL:793#24218#24233,,2,3616
20,4_1,2__0__413__NBM__4__1__4__1,,0,,[@364.0.23226994@]1,,2,413
240,104_4,24__0__433__TZM__104__4__104__4,,0,,[@364.0.17528180@]2,,2,433
360,25_2,36__1__106__NBM__25__2__25__2,,1,,[@360.0.75332042@]1,,2,106
2360,302_3,236__1__712__TZM__302__3__302__3,,1,,[@356.0.45924880@]236:664#21302#21336,,2,712
1500,406_4,150__0__703__TZM__406__4__406__4,,0,,[@6.0.21845698@]3,,2,703
1100,526_2,110__0__201__TZM__526__2__526__2,,0,,[@356.0.42935074@]3,,2,201
6,Rail Su+Hol (JVL),JVL__1__9323__RAIL__Rail_Su+Hol_(JVL),,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9323
2810,7706,281__0__403__UZM__7706__7706,,0,,[@364.0.10228169@]1,,2,403
7,7051,AX__0__617__MNM__7051__7051,,0,,[@366.0.7673003@]1,,2,617
2800,7719,280__0__421__UZM__7719__7719,,0,,[@6.0.7180610@]1,,2,421
330,112_1,33__1__150__NBM__112__1__112__1,,1,,[@364.0.23225734@]1,,2,150
1700,611_2,170__0__119__TZM__611__2__611__2,,0,,[@356.0.42935339@]170:563#18351#18379,,2,119
830,23_1,83__0__441__NBM__23__1__23__1,,0,,[@364.0.23226528@]83:382#12651#12715,,2,441
20,43_1,2__1__550__NBM__43__1__43__1,,1,,[@364.0.23226994@]2,,2,550
30,4_1,3__0__447__NBM__4__1__4__1,,0,,[@360.0.6959122@]2,,2,447
30,10_1,3__0__441__NBM__10__1__10__1,,0,,[@360.0.6959122@]3,,2,441
240,203_8,24__1__432__TZM__203__8__203__8,,1,,[@364.0.17528180@]1,,2,432
20,39,2__1__822__NBM__39__39,,1,,[@364.0.23226994@]10,,2,822
140,23,14__0__733__NBM__23__23,,0,,[@364.0.23225636@]2,,2,733
2260,311_4,226__0__441__TZM__311__4__311__4,,0,,[@356.0.45924848@]5,,2,441
2,Rail XmasWeek 5-6Jan,KPL__0__6470__RAIL__Rail_XmasWeek_5-6Jan,,0,,[@6.0.20608271@]KPL:815#24440#24452,,2,6470
7,6081,AX__1__186__MNM__6081__6081,,1,,[@366.0.7673003@]2,,2,186
30,41,3__0__761__NBM__41__41,,0,,[@360.0.6959122@]2,,2,761
2,Rail MTuWThF-XHol,KPL__0__8272__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608271@]KPL:822#24511#24516,,2,8272
5,Rail MTuWThF-XHol,HVL__1__4601__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608367@]HVL:786#24145#24152,,2,4601
6,Rail MTuWThF-XHol,JVL__1__9245__RAIL__Rail_MTuWThF-XHol,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9245
250,219_4,25__1__429__TZM__219__4__219__4,,1,,[@6.0.22281071@]2,,2,429
